,Cumulative probability,Absolute latency prediction error (s)
0,0.0,0.0
1,0.08038585209003216,0.1
2,0.1639871382636656,0.2
3,0.2572347266881029,0.30000000000000004
4,0.32315112540192925,0.4
5,0.3762057877813505,0.5
6,0.4533762057877814,0.6000000000000001
7,0.5112540192926045,0.7000000000000001
8,0.5707395498392283,0.8
9,0.6414790996784566,0.9
10,0.702572347266881,1.0
11,0.7395498392282959,1.1
12,0.7781350482315113,1.2000000000000002
13,0.8022508038585209,1.3
14,0.8263665594855305,1.4000000000000001
15,0.8472668810289389,1.5
16,0.860128617363344,1.6
17,0.8745980707395499,1.7000000000000002
18,0.8906752411575563,1.8
19,0.9019292604501608,1.9000000000000001
20,0.9163987138263665,2.0
21,0.9244372990353698,2.1
22,0.932475884244373,2.2
23,0.9437299035369775,2.3000000000000003
24,0.9501607717041801,2.4000000000000004
25,0.954983922829582,2.5
26,0.9565916398713826,2.6
27,0.9598070739549839,2.7
28,0.9598070739549839,2.8000000000000003
29,0.9614147909967846,2.9000000000000004
30,0.9614147909967846,3.0
31,0.9614147909967846,3.1
32,0.9614147909967846,3.2
33,0.9646302250803859,3.3000000000000003
34,0.9678456591639871,3.4000000000000004
35,0.9678456591639871,3.5
36,0.9678456591639871,3.6
37,0.9694533762057878,3.7
38,0.9710610932475884,3.8000000000000003
39,0.9742765273311897,3.9000000000000004
40,0.9758842443729904,4.0
41,0.977491961414791,4.1000000000000005
42,0.9807073954983923,4.2
43,0.9823151125401929,4.3
44,0.9839228295819936,4.4
45,0.9839228295819936,4.5
46,0.9839228295819936,4.6000000000000005
47,0.9839228295819936,4.7
48,0.9839228295819936,4.800000000000001
49,0.9839228295819936,4.9
50,0.9839228295819936,5.0
51,0.9839228295819936,5.1000000000000005
52,0.9839228295819936,5.2
53,0.9839228295819936,5.300000000000001
54,0.9855305466237942,5.4
55,0.9855305466237942,5.5
56,0.9855305466237942,5.6000000000000005
57,0.9855305466237942,5.7
58,0.9871382636655949,5.800000000000001
59,0.9871382636655949,5.9
60,0.9871382636655949,6.0
61,0.9903536977491961,6.1000000000000005
62,0.9903536977491961,6.2
63,0.9935691318327974,6.300000000000001
64,0.9935691318327974,6.4
65,0.9935691318327974,6.5
66,0.9935691318327974,6.6000000000000005
67,0.9935691318327974,6.7
68,0.9935691318327974,6.800000000000001
69,0.9935691318327974,6.9
70,0.9935691318327974,7.0
71,0.9951768488745981,7.1000000000000005
72,0.9951768488745981,7.2
73,0.9951768488745981,7.300000000000001
74,0.9951768488745981,7.4
75,0.9951768488745981,7.5
76,0.9951768488745981,7.6000000000000005
77,0.9983922829581994,7.7
78,1.0,7.800000000000001
79,1.0,7.9
80,1.0,8.0
